sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2010,1,119,601285,2010-01-01 00:00:00
AC,2010,1,129,960857,2010-01-01 00:00:00
AC,2010,1,131,2498627,2010-01-01 00:00:00
AC,2010,1,132,4881811,2010-01-01 00:00:00
AC,2010,1,133,530435,2010-01-01 00:00:00
AC,2010,1,134,4859108,2010-01-01 00:00:00
AC,2010,1,135,16745727,2010-01-01 00:00:00
AC,2010,1,139,29515708,2010-01-01 00:00:00
AC,2010,1,211,4409543,2010-01-01 00:00:00
AC,2010,1,212,0,2010-01-01 00:00:00
AC,2010,1,219,4409543,2010-01-01 00:00:00
AC,2010,1,221,108,2010-01-01 00:00:00
AC,2010,1,222,462731,2010-01-01 00:00:00
AC,2010,1,229,462839,2010-01-01 00:00:00
AC,2010,1,239,444113,2010-01-01 00:00:00
AC,2010,1,249,0,2010-01-01 00:00:00
AC,2010,1,399,36394345,2010-01-01 00:00:00
AC,2010,1,409,2158139,2010-01-01 00:00:00
AC,2010,1,419,39314,2010-01-01 00:00:00
AC,2010,1,429,180925,2010-01-01 00:00:00
AC,2010,1,439,0,2010-01-01 00:00:00
AC,2010,1,499,2378378,2010-01-01 00:00:00
AC,2010,1,999,38772723,2010-01-01 00:00:00
AC,2010,10,119,0,2010-10-01 00:00:00
AC,2010,10,129,0,2010-10-01 00:00:00
AC,2010,10,131,0,2010-10-01 00:00:00
AC,2010,10,132,0,2010-10-01 00:00:00
AC,2010,10,133,0,2010-10-01 00:00:00
AC,2010,10,134,0,2010-10-01 00:00:00
AC,2010,10,135,0,2010-10-01 00:00:00
AC,2010,10,139,0,2010-10-01 00:00:00
AC,2010,10,211,0,2010-10-01 00:00:00
AC,2010,10,212,0,2010-10-01 00:00:00
AC,2010,10,219,0,2010-10-01 00:00:00
AC,2010,10,221,0,2010-10-01 00:00:00
AC,2010,10,222,0,2010-10-01 00:00:00
AC,2010,10,229,0,2010-10-01 00:00:00
AC,2010,10,239,0,2010-10-01 00:00:00
AC,2010,10,249,0,2010-10-01 00:00:00
AC,2010,10,399,51017200,2010-10-01 00:00:00
AC,2010,10,409,1840134,2010-10-01 00:00:00
AC,2010,10,419,98018,2010-10-01 00:00:00
AC,2010,10,429,105278,2010-10-01 00:00:00
AC,2010,10,439,11675884,2010-10-01 00:00:00
AC,2010,10,499,13719314,2010-10-01 00:00:00
AC,2010,10,999,64736514,2010-10-01 00:00:00
AC,2010,11,119,545998,2010-11-01 00:00:00
AC,2010,11,129,1330145,2010-11-01 00:00:00
AC,2010,11,131,5508255,2010-11-01 00:00:00
AC,2010,11,132,9630120,2010-11-01 00:00:00
AC,2010,11,133,1073490,2010-11-01 00:00:00
AC,2010,11,134,5529481,2010-11-01 00:00:00
AC,2010,11,135,25919206,2010-11-01 00:00:00
AC,2010,11,139,47660552,2010-11-01 00:00:00
AC,2010,11,211,4680025,2010-11-01 00:00:00
AC,2010,11,212,0,2010-11-01 00:00:00
AC,2010,11,219,4680025,2010-11-01 00:00:00
AC,2010,11,221,753,2010-11-01 00:00:00
AC,2010,11,222,795548,2010-11-01 00:00:00
AC,2010,11,229,796301,2010-11-01 00:00:00
AC,2010,11,239,693242,2010-11-01 00:00:00
AC,2010,11,249,0,2010-11-01 00:00:00
AC,2010,11,399,55706263,2010-11-01 00:00:00
AC,2010,11,409,1252954,2010-11-01 00:00:00
AC,2010,11,419,34658,2010-11-01 00:00:00
AC,2010,11,429,187021,2010-11-01 00:00:00
AC,2010,11,439,0,2010-11-01 00:00:00
AC,2010,11,499,1474633,2010-11-01 00:00:00
AC,2010,11,999,57180896,2010-11-01 00:00:00
AC,2010,12,119,598771,2010-12-01 00:00:00
AC,2010,12,129,1348013,2010-12-01 00:00:00
AC,2010,12,131,5033692,2010-12-01 00:00:00
AC,2010,12,132,10328023,2010-12-01 00:00:00
AC,2010,12,133,1750352,2010-12-01 00:00:00
AC,2010,12,134,5705222,2010-12-01 00:00:00
AC,2010,12,135,22920321,2010-12-01 00:00:00
AC,2010,12,139,45737610,2010-12-01 00:00:00
AC,2010,12,211,4184934,2010-12-01 00:00:00
AC,2010,12,212,0,2010-12-01 00:00:00
AC,2010,12,219,4184934,2010-12-01 00:00:00
AC,2010,12,221,374,2010-12-01 00:00:00
