sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2006,10,119,0,2006-10-01 00:00:00
AC,2006,10,129,0,2006-10-01 00:00:00
AC,2006,10,131,0,2006-10-01 00:00:00
AC,2006,10,132,0,2006-10-01 00:00:00
AC,2006,10,133,0,2006-10-01 00:00:00
AC,2006,10,134,0,2006-10-01 00:00:00
AC,2006,10,135,0,2006-10-01 00:00:00
AC,2006,10,139,0,2006-10-01 00:00:00
AC,2006,10,211,0,2006-10-01 00:00:00
AC,2006,10,212,0,2006-10-01 00:00:00
AC,2006,10,219,0,2006-10-01 00:00:00
AC,2006,10,221,0,2006-10-01 00:00:00
AC,2006,10,222,0,2006-10-01 00:00:00
AC,2006,10,229,0,2006-10-01 00:00:00
AC,2006,10,239,0,2006-10-01 00:00:00
AC,2006,10,249,0,2006-10-01 00:00:00
AC,2006,10,399,42065897,2006-10-01 00:00:00
AC,2006,10,409,975230,2006-10-01 00:00:00
AC,2006,10,419,26802,2006-10-01 00:00:00
AC,2006,10,429,44375,2006-10-01 00:00:00
AC,2006,10,439,5083740,2006-10-01 00:00:00
AC,2006,10,499,6130147,2006-10-01 00:00:00
AC,2006,10,999,48196044,2006-10-01 00:00:00
AC,2006,11,119,0,2006-11-01 00:00:00
AC,2006,11,129,0,2006-11-01 00:00:00
AC,2006,11,131,0,2006-11-01 00:00:00
AC,2006,11,132,0,2006-11-01 00:00:00
AC,2006,11,133,0,2006-11-01 00:00:00
AC,2006,11,134,0,2006-11-01 00:00:00
AC,2006,11,135,0,2006-11-01 00:00:00
AC,2006,11,139,0,2006-11-01 00:00:00
AC,2006,11,211,0,2006-11-01 00:00:00
AC,2006,11,212,0,2006-11-01 00:00:00
AC,2006,11,219,0,2006-11-01 00:00:00
AC,2006,11,221,0,2006-11-01 00:00:00
AC,2006,11,222,0,2006-11-01 00:00:00
AC,2006,11,229,0,2006-11-01 00:00:00
